# slope_rad,speed_mps,voltage_drop_per_m
-0.174533,0.25,0.00175
-0.15708,0.25,0.00182
-0.139626,0.25,0.00189
-0.122173,0.25,0.00196
-0.10472,0.25,0.00203
-0.087266,0.25,0.0021
-0.069813,0.25,0.00227
-0.05236,0.25,0.00244
-0.034907,0.25,0.00261
-0.017453,0.25,0.00278
0.0,0.25,0.00295
0.017453,0.25,0.00317
0.034907,0.25,0.00339
0.05236,0.25,0.00361
0.069813,0.25,0.00383
0.087266,0.25,0.00405
0.10472,0.25,0.00441
0.122173,0.25,0.00477
0.139626,0.25,0.00513
0.15708,0.25,0.00549
0.174533,0.25,0.00585
-0.174533,0.5,0.0011
-0.15708,0.5,0.00118
-0.139626,0.5,0.00126
-0.122173,0.5,0.00134
-0.10472,0.5,0.00142
-0.087266,0.5,0.0015
-0.069813,0.5,0.0016
-0.05236,0.5,0.0017
-0.034907,0.5,0.0018
-0.017453,0.5,0.0019
0.0,0.5,0.002
0.017453,0.5,0.00221
0.034907,0.5,0.00242
0.05236,0.5,0.00263
0.069813,0.5,0.00284
0.087266,0.5,0.00305
0.10472,0.5,0.00336
0.122173,0.5,0.00367
0.139626,0.5,0.00398
0.15708,0.5,0.00429
0.174533,0.5,0.0046
